Board_State,Best_Move
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', 'O', 'O', 'X'], ['-', '-', 'O', 'X', 'X', 'O', 'O']]",drop 2
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', 'O', 'O', 'X'], ['-', '-', 'O', 'X', 'X', 'O', 'O']]",pop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', 'O', '-', '-', '-', '-'], ['-', '-', 'X', 'X', 'O', 'O', 'X'], ['-', '-', 'O', 'O', 'X', 'O', 'O']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', 'O', 'O', '-', '-', '-'], ['-', '-', 'X', 'X', 'O', 'O', 'X'], ['-', '-', 'O', 'O', 'X', 'O', 'O']]",drop 4
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', 'O', 'O', 'X', '-', '-'], ['-', '-', 'X', 'X', 'O', 'O', 'X'], ['-', '-', 'O', 'O', 'X', 'O', 'O']]",drop 2
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-']]",drop 2
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'X', 'X', '-', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'X', 'X', '-', '-', '-']]",drop 4
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'X', 'X', 'X', '-', '-']]",drop 1
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', 'O', 'X', 'X', 'X', '-', '-']]",drop 5
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-']]",drop 4
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', 'X', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', 'X', '-', '-']]",drop 5
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', 'X', 'X', '-']]",drop 6
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', 'X', 'X', 'O']]",drop 2
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-']]",drop 4
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', 'X', '-', '-']]",drop 2
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', 'X', '-', '-']]",drop 5
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', 'X', 'X', '-']]",drop 6
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 2
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 5
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', '-', 'O', '-'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 6
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', '-', 'O', 'X'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 4
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', 'O', 'O', 'X'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 4
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', 'X', '-', '-'], ['-', '-', 'X', 'O', 'O', 'O', 'X'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 2
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', 'X', '-', '-'], ['-', '-', 'X', 'O', 'O', 'O', 'X'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",pop 5
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', 'X', '-', '-'], ['-', '-', 'X', 'O', 'O', '-', 'X'], ['-', '-', 'O', 'X', 'X', 'O', 'O']]",drop 5
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', 'X', '-', '-'], ['-', '-', 'X', 'O', 'O', 'O', 'X'], ['-', '-', 'O', 'X', 'X', 'O', 'O']]",pop 4
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', 'X', 'O', 'X'], ['-', '-', 'O', 'X', 'O', 'O', 'O']]",drop 4
